year	month	Litter_mgC/cm2/mon
2007	1	0.711622339
2007	2	0.976778586
2007	3	1.093030107
2007	4	2.498127249
2007	5	2.417047877
2007	6	2.000062883
2007	7	3.113676883
2007	8	2.515903309
2007	9	3.658252217
2007	10	1.547128566
2007	11	2.175110167
2007	12	1.204047592
2008	1	0.847788275
2008	2	0.828275184
2008	3	1.870480907
2008	4	4.782318874
2008	5	1.888334236
2008	6	0.783459188
2008	7	1.128186157
2008	8	7.925345497
2008	9	2.655567795
2008	10	6.290182733
2008	11	1.882966528
2008	12	1.014717909
2009	1	0.635317588
2009	2	1.60509898
2009	3	1.540012733
2009	4	1.89437159
2009	5	2.213816359
2009	6	1.147410603
2009	7	2.105899154
2009	8	3.962523608
2009	9	4.269843483
2009	10	1.330604041
2009	11	1.265127464
2009	12	0.866977293
2010	1	0.385197375
2010	2	0.839341809
2010	3	2.368981952
2010	4	1.786922085
2010	5	1.512317195
2010	6	1.418912227
2010	7	1.799847267
2010	8	3.116835021
2010	9	1.742050734
2010	10	1.738484216
2010	11	1.834076005
2010	12	1.712706667
2011	1	0.64125977
2011	2	0.771608531
2011	3	0.930735667
2011	4	3.978082394
2011	5	2.132172566
2011	6	1.718940794
2011	7	1.198623065
2011	8	3.181413138
2011	9	2.701204545
2011	10	3.111900977
2011	11	2.482837975
2011	12	1.057198958
2012	1	0.409748069
2012	2	1.156416967
2012	3	1.552016353
2012	4	3.908074693
2012	5	2.260855299
2012	6	2.205167579
2012	7	1.504746827
2012	8	4.850699897
2012	9	2.531614734
2012	10	3.434917966
2012	11	2.339598309
2012	12	0.538027194
