yearly	PH
2007	1	3.9327
2007	2	3.9327
2007	3	3.9327
2007	4	3.9327
2007	5	3.9327
2007	6	3.9327
2007	7	3.9327
2007	8	3.9327
2007	9	3.9327
2007	10	3.9327
2007	11	3.9327
2007	12	3.9327
2008	1	3.879045
2008	2	3.879045
2008	3	3.879045
2008	4	3.879045
2008	5	3.879045
2008	6	3.879045
2008	7	3.879045
2008	8	3.879045
2008	9	3.879045
2008	10	3.879045
2008	11	3.879045
2008	12	3.879045
2009	1	3.94597
2009	2	3.94597
2009	3	3.94597
2009	4	3.94597
2009	5	3.94597
2009	6	3.94597
2009	7	3.94597
2009	8	3.94597
2009	9	3.94597
2009	10	3.94597
2009	11	3.94597
2009	12	3.94597
2010	1	3.867705
2010	2	3.867705
2010	3	3.867705
2010	4	3.867705
2010	5	3.867705
2010	6	3.867705
2010	7	3.867705
2010	8	3.867705
2010	9	3.867705
2010	10	3.867705
2010	11	3.867705
2010	12	3.867705
2011	1	3.78944
2011	2	3.78944
2011	3	3.78944
2011	4	3.78944
2011	5	3.78944
2011	6	3.78944
2011	7	3.78944
2011	8	3.78944
2011	9	3.78944
2011	10	3.78944
2011	11	3.78944
2011	12	3.78944
2012	1	3.58787
2012	2	3.58787
2012	3	3.58787
2012	4	3.58787
2012	5	3.58787
2012	6	3.58787
2012	7	3.58787
2012	8	3.58787
2012	9	3.58787
2012	10	3.58787
2012	11	3.58787
2012	12	3.58787
